Standardized Median Revenue per Commune,Standardized Median Price per Commune,Standardized Livable Space (m2),Standardized Subtype of Property Score,Standardized State of the Building Score,Standardized PEB Score,Standardized Primary Energy Consumption (kWh/m2),Standardized Surface of the Land (m2),Standardized Construction Year,Standardized Number of Rooms,Standardized Number of Facades
0.174,0.085,-0.794,0.674,-0.832,-0.402,0.551,-0.519,-0.437,-0.752,-0.946
0.394,0.1,-0.09,-0.285,-0.832,0.521,1.679,0.075,0.276,-0.005,0.212
0.258,-0.736,-0.155,-0.285,0.134,-0.402,0.502,1.455,-0.208,0.741,1.37
1.282,0.936,-1.217,-0.565,0.021,1.279,-0.367,-0.519,0.225,-1.498,0.212
0.879,2.836,2.09,2.989,1.167,1.279,-0.389,0.578,-0.055,1.487,1.37
0.944,0.522,1.226,-0.285,-0.832,1.279,-0.296,3.837,0.658,-0.005,1.37
0.461,-0.289,0.549,-0.285,-0.832,-0.075,-0.708,-0.344,-0.717,2.98,-0.946
0.624,-0.387,-0.306,-0.285,0.566,-0.075,-0.494,0.527,-0.793,-0.005,0.212
0.031,-1.294,-0.193,-0.285,-0.832,-0.402,0.012,0.604,0.786,-0.752,1.37
-0.475,-1.821,2.1,-0.285,0.021,0.521,1.085,0.51,-1.252,0.741,1.37
1.5,1.047,2.137,-0.285,-0.832,-0.402,0.128,0.5,-0.437,2.234,1.37
-0.481,-0.473,-1.292,-0.939,-0.832,1.279,-0.312,-0.519,0.302,-1.498,-0.946
1.056,2.683,1.179,2.989,1.167,-0.402,0.48,-0.027,0.098,0.741,1.37
0.203,-0.608,-0.137,-0.285,1.167,-0.402,0.144,-0.251,-0.946,1.487,-0.946
0.336,1.856,-0.494,2.989,0.134,0.521,1.19,0.126,-0.157,-0.752,1.37
1.244,0.636,0.54,2.989,1.167,0.268,-1.357,1.0,0.989,1.487,1.37
1.26,0.936,-0.09,-0.285,-0.832,-1.138,0.848,0.547,0.251,-0.752,0.212
0.195,-0.473,0.493,-0.285,-0.832,-0.075,-0.961,-0.018,0.149,-0.752,1.37
0.818,-0.841,0.352,2.989,-0.832,1.279,-0.279,5.797,0.888,0.741,1.37
0.263,-0.473,0.258,-0.285,-0.832,1.279,-0.241,1.338,0.633,-0.005,1.37
-0.988,0.63,-0.071,-0.565,1.167,0.521,0.342,-0.519,-0.793,-0.005,-0.946
-0.476,-0.779,-0.634,-0.565,1.167,1.279,-0.131,-0.519,0.225,-0.005,-0.946
-1.358,-1.024,-0.653,-0.565,1.167,0.521,0.326,-0.519,0.2,-0.752,-0.946
0.157,0.324,-0.616,0.674,1.167,-0.402,0.546,-0.519,0.939,-0.005,-0.946
-1.267,-0.289,-0.728,-0.565,-0.832,-0.075,-1.115,-0.519,1.27,-0.752,-0.946
0.314,0.17,-0.907,-0.565,0.566,-0.075,-0.532,-0.519,0.124,-0.752,-0.946
0.562,0.392,-0.813,0.819,-0.832,-1.138,0.804,-0.519,-0.106,-0.752,-0.946
0.247,2.039,-0.165,-0.565,1.167,-0.402,-0.433,-0.519,0.073,0.741,-0.946
0.741,4.0,1.01,2.989,0.134,-2.792,1.69,8.717,-1.201,2.234,1.37
0.981,2.337,0.408,-0.285,0.134,-1.138,0.744,-0.163,-1.252,1.487,0.212
-1.008,-0.228,-0.907,-0.565,0.021,0.521,0.177,-0.519,-1.201,-0.752,-0.946
0.889,0.863,-0.212,-0.285,0.134,-1.138,1.157,-0.368,-0.386,0.741,-0.946
0.866,1.194,0.192,-0.285,0.134,0.521,1.993,-0.027,-1.252,-0.005,0.212
0.569,0.501,0.202,-0.285,1.167,1.279,-0.345,-0.328,-1.252,-0.005,-0.946
-1.197,-0.289,-0.541,-0.565,-0.832,-1.138,-0.202,-0.519,-0.717,-0.752,-0.946
-0.988,0.63,-0.024,-0.565,-0.832,-1.138,-0.224,-0.519,0.327,-0.005,-0.946
-0.166,-0.473,-1.32,-0.939,-0.832,1.279,-0.004,-0.519,0.251,-1.498,-0.946
0.571,0.777,-0.155,-0.285,0.134,0.521,3.093,0.203,-0.335,-0.005,1.37
0.417,-0.056,-0.353,-0.285,0.134,0.521,3.753,0.437,-0.08,-0.752,1.37
1.049,2.468,-0.747,-0.565,-0.832,0.268,-1.115,-0.519,1.168,-0.752,-0.946
-0.988,0.63,-1.02,-0.565,0.566,-2.792,2.983,-0.519,-1.71,-1.498,-0.946
0.245,0.14,-0.118,1.399,1.167,-0.075,-0.901,-0.519,1.117,-1.498,-0.946
0.378,-0.167,-1.161,-0.939,1.167,0.268,-1.209,-0.519,1.346,-1.498,-2.104
-0.332,1.12,-0.775,0.674,0.566,-1.138,-0.301,-0.519,-1.023,-1.498,-0.946
-1.04,-1.576,-1.057,-0.565,1.167,0.268,-1.258,-0.519,1.448,-1.498,1.37
-1.437,-0.093,1.198,-0.285,1.167,-1.138,-0.092,-0.364,-1.456,1.487,-0.946
-0.139,-1.086,-0.588,-0.285,0.134,-2.792,1.932,-0.361,-1.226,-0.005,-0.946
-1.04,-1.576,-0.202,-0.565,1.167,-0.075,-0.73,-0.519,1.448,-0.005,-0.946
1.112,0.232,-0.165,-0.285,0.021,1.279,-0.279,3.392,-0.157,-0.005,1.37
0.152,0.017,-0.945,-0.565,-0.832,-0.075,-0.774,-0.519,0.149,-1.498,-0.946
0.713,-0.182,0.352,-0.285,0.134,0.521,3.346,1.153,-0.055,-0.005,1.37
-0.988,0.63,0.399,-0.565,-0.832,-0.402,-0.406,-0.519,-0.997,-0.005,0.212
0.113,-0.473,1.79,-0.285,0.134,0.521,3.016,-0.076,0.047,-0.005,0.212
-0.295,-0.841,0.709,2.989,1.167,-0.075,-0.857,0.618,1.04,0.741,1.37
-0.49,-1.331,-0.681,-0.285,-0.832,-1.138,0.799,-0.148,-0.437,-0.752,0.212
0.964,0.275,0.202,-0.285,1.167,0.268,-1.374,-0.228,1.448,-0.005,-0.946
0.22,-0.963,-0.09,-0.285,-0.832,0.521,1.982,-0.315,-0.819,1.487,0.212
-1.197,-0.289,-0.832,-0.565,0.134,-1.138,-0.136,-0.519,-0.819,-0.752,-0.946
-1.197,-0.289,0.681,-0.285,0.134,-2.792,1.954,-0.432,-2.22,0.741,-0.946
-1.267,-0.289,-0.108,-0.565,-0.832,-0.402,-0.598,-0.519,1.397,0.741,-0.946
-0.864,0.305,0.239,0.674,1.167,1.279,-0.708,-0.519,-1.405,-0.005,-0.946
1.156,1.243,-0.653,-0.565,1.167,0.268,-1.297,-0.519,1.422,-0.752,-0.946
0.343,0.017,-0.343,-0.565,1.167,-0.075,-0.802,-0.519,1.193,-0.005,-0.946
1.028,0.691,-0.879,-0.285,0.134,0.521,1.789,-0.415,-2.984,-0.752,-0.946
0.61,-0.657,-0.24,-0.285,1.167,0.268,-1.209,0.002,1.295,-0.005,0.212
-0.512,-1.27,0.775,-0.285,0.134,0.521,0.854,-0.375,-1.863,0.741,-0.946
-0.817,-1.76,-0.916,-0.565,-0.832,-1.138,0.469,-0.519,-0.029,-0.752,-0.946
0.766,0.308,1.273,-0.285,0.021,0.521,1.454,0.201,0.353,-0.005,1.37
-0.864,0.305,-1.161,-0.939,1.167,-2.792,1.745,-0.519,-0.182,-1.498,-0.946
-0.083,-0.497,-0.681,-0.565,-0.832,-0.075,-0.736,-0.519,0.989,-0.005,0.212
-0.191,0.863,-0.118,-0.285,0.021,-2.792,0.474,-0.359,-0.946,2.234,-0.946
0.247,2.039,1.339,2.989,-0.832,-1.138,-0.037,0.246,-0.437,1.487,0.212
-1.04,-1.576,-0.775,-0.565,-0.832,-0.075,-0.824,-0.519,-0.233,-0.752,-0.946
0.509,-0.142,0.484,-0.285,0.021,0.521,2.669,0.845,-0.488,1.487,0.212
-0.332,1.12,-0.447,-0.565,1.167,-0.402,-0.664,-0.519,0.174,-0.752,0.212
-0.927,-1.643,-0.353,-0.285,-0.832,1.279,-0.23,-0.179,-1.252,0.741,-0.946
0.411,-0.375,-0.588,-0.565,-0.832,-0.075,-0.923,-0.519,-0.157,-0.005,-0.946
0.247,2.039,0.728,2.989,1.167,-1.138,-0.219,-0.021,-0.208,-0.005,1.37
-1.197,-0.289,-1.01,-0.565,-0.832,0.521,0.188,-0.519,-1.252,-1.498,-0.946
0.866,1.194,0.427,-0.285,0.021,0.521,1.294,0.126,0.506,0.741,1.37
-1.197,-0.289,1.902,-0.285,0.566,-0.402,-0.417,1.7,1.04,0.741,1.37
-0.332,1.12,0.822,-0.565,1.167,-0.402,-0.384,-0.519,0.786,0.741,0.212
0.258,-0.736,-0.306,-0.285,1.167,-0.075,-0.862,-0.442,-0.437,0.741,-0.946
-0.332,1.12,-0.822,-0.565,1.167,-0.402,-0.681,-0.519,-0.335,-0.752,-0.946
-1.008,-0.228,-0.935,-0.565,-0.832,-0.402,-0.681,-0.519,-0.309,-0.752,-2.104
0.203,-0.608,1.198,0.674,-0.832,1.279,-0.076,-0.519,0.633,0.741,-0.946
0.276,-0.412,0.023,-0.565,-0.832,-0.075,-0.527,-0.519,0.098,-0.005,-0.946
0.245,0.14,-0.945,0.819,0.566,-0.075,-0.791,-0.519,-0.157,-0.752,-0.946
-1.267,-0.289,-0.052,-0.565,-0.832,-2.792,0.496,-0.519,-2.984,-0.752,-0.946
0.346,-0.228,0.089,-0.285,-0.832,-0.402,0.381,-0.344,-1.736,-0.005,-0.946
0.343,0.017,0.54,-0.565,-0.832,1.279,-0.257,-0.519,0.506,1.487,0.212
-0.817,-1.76,-0.174,-0.285,-0.832,1.279,-0.136,-0.25,-2.474,-0.005,-0.946
0.706,0.936,0.023,-0.285,-0.832,-0.075,-0.516,0.286,0.709,0.741,1.37
-0.988,0.63,0.145,1.399,1.167,-0.402,-0.461,-0.519,0.582,-0.005,-0.946
-0.189,-0.568,-0.728,-0.285,0.021,-2.792,1.718,0.077,-2.984,-0.005,0.212
-0.154,-0.596,0.258,-0.285,0.021,-0.402,0.342,0.127,-0.055,0.741,1.37
-1.197,-0.289,-0.832,-0.565,0.134,-2.792,3.577,-0.519,-0.819,-1.498,-0.946
1.097,0.817,-0.888,-0.565,1.167,0.268,-1.077,-0.519,-0.055,-0.752,-0.946
-0.988,0.63,-0.869,0.819,-0.832,-1.138,-0.23,-0.519,-2.041,-0.752,-0.946
0.704,0.403,-0.155,-0.285,1.167,0.268,-0.983,-0.312,1.219,-0.752,0.212
-0.331,1.604,-0.728,-0.565,1.167,1.279,-0.956,-0.519,1.193,-0.752,0.212
0.701,0.164,0.634,-0.285,-0.832,-1.138,1.118,0.611,-0.386,-0.005,1.37
-0.481,-0.473,-0.531,-0.565,-0.832,-0.075,-0.923,-0.519,1.193,-0.005,-0.946
1.406,1.905,-0.691,-0.565,-0.832,0.268,-0.983,-0.519,0.149,-0.752,-0.946
0.263,-0.473,2.128,-0.285,0.021,1.279,-0.224,0.741,0.302,1.487,1.37
0.255,-0.289,-0.728,-0.285,-0.832,0.521,3.104,-0.05,-1.252,-0.005,-0.946
1.264,0.385,0.211,-0.285,1.167,1.279,-0.004,0.38,0.633,0.741,1.37
0.779,-0.473,1.705,-0.285,-0.832,-0.402,0.183,0.153,-0.004,1.487,1.37
-0.475,-1.165,-0.061,-0.285,-0.832,-0.075,-0.714,0.035,0.073,-0.005,1.37
-0.022,-1.024,-0.221,-0.285,-11.332,1.279,-0.037,-0.447,-0.946,-0.005,-0.946
0.595,0.201,0.042,-0.285,0.134,0.521,1.261,0.218,-0.004,-0.005,1.37
0.276,-0.412,0.07,-0.285,-0.832,-1.138,0.882,1.5,-0.004,0.741,1.37
