Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Bruxelles,1000,apartment,395000,2,95,1,0,1,8,0,0,0,0,2,2017,5,76,3,275000,21541,4157,26803.13784722222,28758.51106301106,29446.861588481188
Mechelen,2800,apartment,314000,2,76,1,0,1,3,0,0,0,0,2,1972,5,182,4,312500,29870,4131,26803.13784722222,28224.02819956616,29446.861588481188
Schoten,2900,ground-floor,243000,2,86,0,0,0,0,0,0,0,0,2,1963,2,425,3,330550,31175,2825,28347.043859649122,28758.51106301106,27576.145009416196
Woluwe-saint-pierre,1150,apartment,645000,4,155,1,0,1,12,0,0,0,0,2,1970,3,200,5,465000,29516,4161,26803.13784722222,28486.412584912407,28222.31623931624
Lasne,1380,villa,1195000,6,280,1,0,1,20,0,0,0,8950,4,1920,0,586,1,625000,32121,4267,30737.61626429479,28927.5390070922,25195.411320754716
Hoeilaart,1560,house,345000,5,216,0,0,1,40,1,345,0,345,3,1918,2,414,1,489250,33382,1597,29802.14056563951,28927.5390070922,27576.145009416196
Bruxelles,1190,apartment,275000,2,76,1,0,1,4,0,0,0,0,2,1920,1,311,2,280000,22908,3618,26803.13784722222,28791.728096676736,29144.322250639387
Londerzeel,1840,house,325000,4,150,0,0,0,0,0,0,0,147,2,1952,2,489,1,369000,32899,2166,29802.14056563951,28927.5390070922,27576.145009416196
Beersel,1650,house,285000,3,193,0,0,0,0,1,300,0,477,3,1918,1,641,1,396000,32780,1476,29802.14056563951,28927.5390070922,29144.322250639387
Mortsel,2640,house,525000,3,194,1,0,0,0,1,105,0,185,2,1918,4,216,5,339500,31213,2706,29802.14056563951,28486.412584912407,29068.10478029937
Schaerbeek,1030,apartment,365000,2,115,1,0,1,1,0,0,0,0,2,1939,2,242,3,275000,21912,3173,26803.13784722222,28758.51106301106,27576.145009416196
Ixelles,1050,apartment,595000,3,170,1,0,0,0,0,0,0,0,2,1980,2,238,3,350000,23014,3500,26803.13784722222,28758.51106301106,27576.145009416196
Nieuwpoort,8620,flat-studio,149000,1,32,1,0,0,0,0,0,0,0,2,1977,4,278,3,260000,27342,4656,25140.745098039217,28758.51106301106,29068.10478029937
Wommelgem,2160,house,415000,3,156,0,0,0,0,1,650,0,700,4,1954,1,841,1,362000,31223,2660,29802.14056563951,28927.5390070922,29144.322250639387
Maldegem,9990,house,247000,2,135,0,0,0,0,0,0,0,927,4,1964,1,961,1,294000,30415,1829,29802.14056563951,28927.5390070922,29144.322250639387
Schilde,2970,apartment,349000,2,93,0,0,0,0,0,0,0,0,2,2013,6,76,3,500000,33742,3752,26803.13784722222,28758.51106301106,29468.910848549946
Ixelles,1050,apartment,345000,1,64,1,0,1,20,0,0,0,0,2,1900,0,821,4,350000,23014,5390,26803.13784722222,28224.02819956616,25195.411320754716
Brugge,8000,penthouse,795000,1,160,1,0,1,17,0,0,0,0,2,2011,5,115,5,310000,29506,4968,25996.018604651163,28486.412584912407,29446.861588481188
Hasselt,3500,flat-studio,330000,1,49,0,0,0,0,0,0,0,0,1,2020,6,59,5,285000,30208,6734,25140.745098039217,28486.412584912407,29468.910848549946
Uccle,1180,duplex,495000,1,90,1,0,0,0,0,0,0,0,2,1927,2,224,4,390000,26467,5500,27281.282442748092,28224.02819956616,27576.145009416196
Licge,4000,apartment,215000,1,60,1,0,0,0,0,0,0,0,4,2024,6,50,5,170000,22738,3583,26803.13784722222,28486.412584912407,29468.910848549946
Saint-gilles,1060,house,1185000,5,300,1,0,1,18,1,100,0,150,2,1910,2,262,5,291000,20648,3950,29802.14056563951,28486.412584912407,27576.145009416196
Waremme,4300,house,150000,3,110,1,0,0,0,0,0,0,153,2,1919,0,630,1,210000,27485,1363,29802.14056563951,28927.5390070922,25195.411320754716
Liege,4000,apartment,390000,3,151,1,0,0,0,0,0,0,0,2,2024,5,146,5,170000,22738,2582,26803.13784722222,28486.412584912407,29446.861588481188
Herne,1540,house,365000,3,155,1,0,0,0,0,0,0,3790,4,1961,4,228,2,317500,34077,2354,29802.14056563951,28791.728096676736,29068.10478029937
Vilvoorde,1800,apartment,208000,1,72,0,0,1,3,0,0,0,0,2,1973,5,138,3,300000,29017,2888,26803.13784722222,28758.51106301106,29446.861588481188
Laakdal,2430,house,320000,3,210,1,0,0,0,0,0,0,1620,4,1965,1,887,1,283750,31971,1523,29802.14056563951,28927.5390070922,29144.322250639387
Ixelles,1050,apartment,730000,3,215,1,0,0,0,0,0,0,0,3,1928,3,205,3,350000,23014,3395,26803.13784722222,28758.51106301106,28222.31623931624
Wenduine,8420,house,325000,3,363,0,0,0,0,0,0,0,430,3,1969,1,827,1,260000,28811,895,29802.14056563951,28927.5390070922,29144.322250639387
Waha,6900,villa,750000,4,248,1,0,1,1,1,1,1,1102,4,2008,5,123,5,230000,26665,3024,30737.61626429479,28486.412584912407,29446.861588481188
Sambrevilletamines,5060,house,245000,2,100,1,0,0,0,1,300,0,360,3,1950,2,424,3,190000,25634,2450,29802.14056563951,28758.51106301106,27576.145009416196
Zwalm,9630,house,475000,3,194,0,0,1,25,1,185,0,282,2,2024,6,29,5,321000,33295,2448,29802.14056563951,28486.412584912407,29468.910848549946
Izegem,8870,house,179000,5,163,0,0,1,25,0,0,0,198,3,1935,1,639,3,220000,29378,1098,29802.14056563951,28758.51106301106,29144.322250639387
Schaerbeek,1030,apartment,210000,2,84,1,0,0,0,0,0,0,0,2,1935,2,254,1,275000,21912,2500,26803.13784722222,28927.5390070922,27576.145009416196
Schaerbeek,1030,house,375000,4,245,0,0,0,0,1,30,0,85,2,1880,0,634,1,275000,21912,1530,29802.14056563951,28927.5390070922,25195.411320754716
Bruxelles,1000,apartment,510000,4,161,1,0,0,0,0,0,0,0,2,2022,3,170,3,275000,21541,3167,26803.13784722222,28758.51106301106,28222.31623931624
Etterbeek,1040,duplex,1150000,3,198,1,0,1,42,0,0,0,0,2,1912,4,150,5,323500,23665,5808,27281.282442748092,28486.412584912407,29068.10478029937
Destelbergen,9070,apartment,399000,2,103,1,0,0,0,1,138,0,0,2,2023,6,43,5,400000,34306,3873,26803.13784722222,28486.412584912407,29468.910848549946
Herenthout,2270,apartment,389000,3,136,0,0,0,0,0,0,0,0,2,2014,5,133,5,300000,30024,2860,26803.13784722222,28486.412584912407,29446.861588481188
Roosdaal,1760,house,119000,2,79,1,0,0,0,0,0,0,101,2,1850,1,604,1,355000,33632,1506,29802.14056563951,28927.5390070922,29144.322250639387
Wevelgem,8560,house,419000,3,147,1,0,1,19,1,300,0,505,3,2018,6,59,5,245000,31432,2850,29802.14056563951,28486.412584912407,29468.910848549946
Tournai,7500,house,250000,4,255,1,0,0,0,0,0,0,140,2,1894,1,434,1,195000,25518,980,29802.14056563951,28927.5390070922,29144.322250639387
Lalouvicre,7100,apartment,160000,2,75,1,0,0,0,0,0,0,0,2,1966,2,364,3,155000,23915,2133,26803.13784722222,28758.51106301106,27576.145009416196
Kasterlee,2460,house,329000,3,308,1,0,0,0,0,0,0,698,4,1981,1,543,2,323750,32250,1068,29802.14056563951,28791.728096676736,29144.322250639387
Etterbeek,1040,flat-studio,235000,1,49,0,0,1,2,0,0,0,0,2,1960,0,596,5,323500,23665,4795,25140.745098039217,28486.412584912407,25195.411320754716
Boom,2850,apartment,225000,3,100,0,0,0,0,0,0,0,0,3,2006,5,145,3,258000,27780,2250,26803.13784722222,28758.51106301106,29446.861588481188
Woluwe-saint-lambert,1200,house,650000,6,160,1,0,0,0,1,60,0,155,2,1930,0,365,2,369000,27210,4062,29802.14056563951,28791.728096676736,25195.411320754716
Woluwe-saint-pierre,1150,villa,1380000,5,315,1,0,1,40,1,570,0,742,3,1950,2,272,3,465000,29516,4380,30737.61626429479,28758.51106301106,27576.145009416196
Licge,4000,apartment,175000,2,90,1,0,0,0,0,0,0,0,2,1958,5,129,3,170000,22738,1944,26803.13784722222,28758.51106301106,29446.861588481188
Oudenburg,8460,house,278000,5,224,0,0,0,0,0,0,0,1322,3,1948,1,764,2,287000,30899,1241,29802.14056563951,28791.728096676736,29144.322250639387
Uccle,1180,apartment,695000,2,125,1,0,1,27,0,0,0,0,3,1974,3,158,5,390000,26467,5560,26803.13784722222,28486.412584912407,28222.31623931624
Seraing,4101,house,175000,4,135,1,0,1,40,1,160,0,330,2,1918,4,237,3,164500,23333,1296,29802.14056563951,28758.51106301106,29068.10478029937
Mol,2400,apartment,249000,3,110,1,0,0,0,0,0,0,0,2,1961,5,111,3,268000,30380,2263,26803.13784722222,28758.51106301106,29446.861588481188
Woluwe-saint-pierre,1150,villa,950000,3,250,1,0,1,25,1,250,0,483,4,1959,2,239,5,465000,29516,3800,30737.61626429479,28486.412584912407,27576.145009416196
Schaerbeek,1030,apartment,230000,1,65,0,0,0,0,0,0,0,0,2,1918,1,313,3,275000,21912,3538,26803.13784722222,28758.51106301106,29144.322250639387
Beersel,1650,house,549000,4,218,0,0,0,0,0,0,0,625,4,1987,1,514,2,396000,32780,2518,29802.14056563951,28791.728096676736,29144.322250639387
Schaerbeek,1030,house,1490000,4,375,1,0,1,40,1,650,0,2150,4,2008,3,203,4,275000,21912,3973,29802.14056563951,28224.02819956616,28222.31623931624
Uccle,1180,apartment,1295000,4,260,1,0,1,20,0,0,0,0,3,1998,3,209,5,390000,26467,4980,26803.13784722222,28486.412584912407,28222.31623931624
Geraardsbergen,9500,house,225000,4,140,1,0,1,6,0,0,0,75,2,1950,5,122,5,238500,29578,1607,29802.14056563951,28486.412584912407,29446.861588481188
Uccle,1180,apartment,420000,2,85,1,0,1,3,0,0,0,0,2,1954,3,155,5,390000,26467,4941,26803.13784722222,28486.412584912407,28222.31623931624
Forest,1190,apartment,234000,2,73,1,0,1,2,0,0,0,0,1,1955,3,155,3,280000,22908,3205,26803.13784722222,28758.51106301106,28222.31623931624
Tienen,3300,duplex,599000,4,300,1,0,1,11,0,0,0,0,2,1992,4,265,3,249000,29289,1996,27281.282442748092,28758.51106301106,29068.10478029937
Aalst,9300,apartment,395000,3,175,0,0,0,0,0,0,0,0,2,1971,5,183,3,265000,29669,2257,26803.13784722222,28758.51106301106,29446.861588481188
Brugge,8000,ground-floor,265000,2,72,1,0,0,0,0,0,0,0,2,1961,5,135,4,310000,29506,3680,28347.043859649122,28224.02819956616,29446.861588481188
Bruxelles,1000,apartment,550000,2,167,1,0,1,12,1,60,1,0,2,1850,0,369,3,275000,21541,3293,26803.13784722222,28758.51106301106,25195.411320754716
Wetteren,9230,house,274500,3,182,0,0,1,22,0,0,0,170,2,1899,3,348,3,280000,30041,1508,29802.14056563951,28758.51106301106,28222.31623931624
Herenthout,2270,apartment,490000,5,230,0,0,0,0,0,0,0,0,3,1987,4,232,3,300000,30024,2130,26803.13784722222,28758.51106301106,29068.10478029937
La-louviere,7100,house,238000,3,154,1,0,1,30,1,80,0,261,2,1870,4,254,3,155000,23915,1545,29802.14056563951,28758.51106301106,29068.10478029937
Sint-katelijne-waver,2860,house,698000,4,175,1,0,0,0,0,0,0,780,4,1995,5,185,3,375000,31938,3988,29802.14056563951,28758.51106301106,29446.861588481188
Bruxelles,1050,penthouse,790000,3,188,1,0,1,20,0,0,0,0,2,1990,3,195,5,350000,23014,4202,25996.018604651163,28486.412584912407,28222.31623931624
Klabbeek,1480,house,220000,3,95,1,0,0,0,0,0,0,578,3,1850,0,591,2,252250,27224,2315,29802.14056563951,28791.728096676736,25195.411320754716
Turnhout,2300,house,415000,4,200,1,0,0,0,1,500,0,626,4,1965,3,341,2,250000,27404,2075,29802.14056563951,28791.728096676736,28222.31623931624
Schaerbeek,1030,apartment,200000,1,84,1,0,0,0,0,0,0,0,2,1935,0,929,1,275000,21912,2380,26803.13784722222,28927.5390070922,25195.411320754716
Kapellen,2950,apartment,399000,2,78,1,0,0,0,0,0,0,0,2,1965,6,83,5,365250,33995,5115,26803.13784722222,28486.412584912407,29468.910848549946
Ixelles,1050,ground-floor,300000,2,80,1,0,1,10,0,0,0,0,2,1887,2,237,3,350000,23014,3750,28347.043859649122,28758.51106301106,27576.145009416196
Kaprijke,9971,house,339000,2,156,1,0,1,156,1,100,0,201,3,2015,6,100,5,331500,31928,2173,29802.14056563951,28486.412584912407,29468.910848549946
Watermael-boitsfort,1170,apartment,575000,2,95,1,0,0,0,1,70,0,0,3,2014,4,105,5,429500,26474,6052,26803.13784722222,28486.412584912407,29068.10478029937
Olen,2250,house,379000,3,240,0,0,0,0,0,0,0,1095,4,1952,2,482,3,312000,31912,1579,29802.14056563951,28758.51106301106,27576.145009416196
Antwerpen,2000,apartment,620000,3,116,1,0,0,0,0,0,0,0,2,2014,5,111,3,260000,25683,5344,26803.13784722222,28758.51106301106,29446.861588481188
Hove,2540,apartment,249000,2,99,1,0,0,0,0,0,0,0,2,1973,6,100,3,454000,35621,2515,26803.13784722222,28758.51106301106,29468.910848549946
Borgloon,3840,house,435000,5,399,0,0,0,0,0,0,0,1221,4,1979,4,238,2,260000,29600,1090,29802.14056563951,28791.728096676736,29068.10478029937
Koekelare,8680,house,149000,3,95,0,0,0,0,0,0,0,455,2,1918,1,843,3,275000,29558,1568,29802.14056563951,28758.51106301106,29144.322250639387
Affligem,1790,house,495000,4,195,1,0,1,65,1,400,0,871,4,1992,4,278,5,330000,34876,2538,29802.14056563951,28486.412584912407,29068.10478029937
Lede,9340,house,399850,5,354,0,0,0,0,0,0,0,651,4,1967,3,312,3,260000,32323,1129,29802.14056563951,28758.51106301106,28222.31623931624
Ronse,9600,house,359500,3,166,1,0,1,50,1,300,0,537,4,1970,5,149,3,203500,25716,2165,29802.14056563951,28758.51106301106,29446.861588481188
Wervik,8940,house,169000,3,149,0,0,0,0,0,0,0,70,2,1930,4,272,0,215000,28100,1134,29802.14056563951,28688.571428571428,29068.10478029937
Nijlen,2560,house,340000,3,177,0,0,0,0,0,0,0,714,4,1967,1,508,1,315000,31353,1920,29802.14056563951,28927.5390070922,29144.322250639387
Aalst,9300,house,435000,4,180,1,0,0,0,0,0,0,1957,4,1967,2,439,3,265000,29669,2416,29802.14056563951,28758.51106301106,27576.145009416196
Liege,4000,house,157000,2,118,1,1,1,54,1,54,0,145,2,1875,3,304,3,170000,22738,1330,29802.14056563951,28758.51106301106,28222.31623931624
Affligem,1790,house,535000,3,190,1,0,1,100,1,350,0,522,3,1926,1,604,5,330000,34876,2815,29802.14056563951,28486.412584912407,29144.322250639387
Uccle,1180,apartment,560000,3,183,1,0,1,20,0,0,0,0,2,1967,3,191,2,390000,26467,3060,26803.13784722222,28791.728096676736,28222.31623931624
Roeselare,8800,house,229000,4,113,0,0,0,0,1,18,0,80,2,1945,5,159,3,238106,28720,2026,29802.14056563951,28758.51106301106,29446.861588481188
Auderghem,1160,house,375000,2,140,1,0,1,50,0,0,0,90,2,1950,0,470,1,363000,28443,2678,29802.14056563951,28927.5390070922,25195.411320754716
Tubize,1480,ground-floor,265000,2,90,1,0,1,25,0,0,0,0,3,2023,6,82,5,252250,27224,2944,28347.043859649122,28486.412584912407,29468.910848549946
Turnhout,2300,house,285000,4,149,0,0,0,0,1,56,0,212,3,1958,3,336,3,250000,27404,1912,29802.14056563951,28758.51106301106,28222.31623931624
Kortrijk,8490,house,229000,3,120,0,0,1,3,0,0,0,105,2,1900,4,268,3,386750,33476,1908,29802.14056563951,28758.51106301106,29068.10478029937
Woluwe-saint-lambert,1200,house,995000,5,298,1,0,1,7,1,45,0,117,2,2024,6,45,5,369000,27210,3338,29802.14056563951,28486.412584912407,29468.910848549946
Stekene,9190,ground-floor,249000,2,84,0,0,1,26,0,0,0,0,2,2011,5,137,3,295000,31641,2964,28347.043859649122,28758.51106301106,29446.861588481188
Mainvault,7812,house,195000,3,100,0,0,0,0,1,307,0,440,4,1899,0,979,1,210000,27525,1950,29802.14056563951,28927.5390070922,25195.411320754716
Brecht,2960,house,369000,1,80,1,0,0,0,0,0,0,1295,4,1986,4,255,5,385000,32680,4612,29802.14056563951,28486.412584912407,29068.10478029937
Lint,2547,house,820000,3,250,0,0,0,0,0,0,0,3660,4,1991,4,206,3,370000,34512,3280,29802.14056563951,28758.51106301106,29068.10478029937
Lummen,3560,villa,698000,3,256,0,0,0,0,0,0,0,3798,4,1974,5,121,3,308000,32749,2726,30737.61626429479,28758.51106301106,29446.861588481188
Jette,1090,house,499000,3,235,1,0,1,20,1,100,0,250,2,1966,0,396,2,235000,24171,2123,29802.14056563951,28791.728096676736,25195.411320754716
Willebroek,2830,house,329000,4,248,1,0,0,0,0,0,0,210,2,1918,3,315,3,286750,29939,1326,29802.14056563951,28758.51106301106,28222.31623931624
Tienen,3300,house,256000,2,151,0,0,0,0,0,0,0,627,4,1930,1,681,3,249000,29289,1695,29802.14056563951,28758.51106301106,29144.322250639387
Evere,1140,apartment,299000,3,116,0,0,1,14,0,0,0,0,3,1967,2,269,1,257500,24158,2577,26803.13784722222,28927.5390070922,27576.145009416196
Middelkerke,8430,apartment,235000,1,61,0,1,0,0,0,0,0,0,2,1978,4,286,3,200000,27292,3852,26803.13784722222,28758.51106301106,29068.10478029937
Koksijde,8670,apartment,188000,1,58,1,1,0,0,0,0,0,0,2,1988,5,190,5,300000,30348,3241,26803.13784722222,28486.412584912407,29446.861588481188
Oudenaarde,9700,house,300000,3,145,0,0,0,0,0,0,0,504,4,1969,1,588,1,275000,30647,2068,29802.14056563951,28927.5390070922,29144.322250639387
Liege,4000,house,350000,5,265,1,0,0,0,0,0,0,110,2,1850,3,274,2,170000,22738,1320,29802.14056563951,28791.728096676736,28222.31623931624
Lanaken,3620,house,245000,2,86,0,0,0,0,0,0,0,835,4,2005,6,85,5,285000,29187,2848,29802.14056563951,28486.412584912407,29468.910848549946
Hasselt,3500,house,325000,4,129,1,0,0,0,0,0,0,178,2,1930,4,296,3,285000,30208,2519,29802.14056563951,28758.51106301106,29068.10478029937
Sint-pieters-leeuw,1600,house,450000,4,172,0,0,0,0,0,0,0,603,4,1989,2,447,1,325000,29043,2616,29802.14056563951,28927.5390070922,27576.145009416196
Moulbaix,7812,villa,595000,5,260,1,0,1,40,0,0,0,1494,4,1996,3,261,3,210000,27525,2288,30737.61626429479,28758.51106301106,28222.31623931624
Ronse,9600,apartment,260000,2,98,1,0,1,17,1,17,0,0,2,2022,6,44,5,203500,25716,2653,26803.13784722222,28486.412584912407,29468.910848549946
Waterloo,1410,apartment,349000,3,122,1,0,1,2,0,0,0,0,4,1960,4,211,5,475000,31143,2860,26803.13784722222,28486.412584912407,29068.10478029937
Uccle,1180,duplex,295000,2,80,1,0,1,14,0,0,0,0,2,1934,0,534,5,390000,26467,3687,27281.282442748092,28486.412584912407,25195.411320754716
Ecaussinnes,7190,house,395000,4,250,1,0,0,0,1,174,0,280,2,1870,4,254,3,200000,28243,1580,29802.14056563951,28758.51106301106,29068.10478029937
Courcelles,6180,house,170000,4,92,1,0,1,25,1,442,0,499,3,1910,4,252,4,167000,25176,1847,29802.14056563951,28224.02819956616,29068.10478029937
Lessines,7860,house,200000,3,204,0,0,1,10,1,95,0,189,2,1900,2,405,2,160000,26204,980,29802.14056563951,28791.728096676736,27576.145009416196
Boom,2850,house,275000,3,153,0,0,0,0,1,65,0,187,2,1960,1,752,1,258000,27780,1797,29802.14056563951,28927.5390070922,29144.322250639387
Diest,3290,house,328000,2,136,1,0,0,0,0,0,0,658,4,1966,1,740,4,275000,31304,2411,29802.14056563951,28224.02819956616,29144.322250639387
Turnhout,2300,house,489000,2,226,1,0,0,0,0,0,0,270,2,1980,5,113,4,250000,27404,2163,29802.14056563951,28224.02819956616,29446.861588481188
Oostduinkerke,8670,penthouse,495000,2,80,1,1,1,20,0,0,0,0,3,1979,5,169,3,300000,30348,6187,25996.018604651163,28758.51106301106,29446.861588481188
Dendermonde,9200,apartment,210000,2,85,0,0,0,0,0,0,0,0,2,1996,5,115,3,265000,30172,2470,26803.13784722222,28758.51106301106,29446.861588481188
Borgloon,3840,house,215000,4,286,0,0,0,0,0,0,0,181,2,1937,1,779,1,260000,29600,751,29802.14056563951,28927.5390070922,29144.322250639387
Hasselt,3500,apartment,279000,3,120,0,0,1,10,0,0,0,0,2,1975,5,198,3,285000,30208,2325,26803.13784722222,28758.51106301106,29446.861588481188
Blankenberge,8370,apartment,465000,2,93,1,0,1,6,0,0,0,0,2,1970,5,120,5,235000,25711,5000,26803.13784722222,28486.412584912407,29446.861588481188
Erpe-mere,9420,house,295000,4,250,1,0,0,0,0,0,0,690,4,1958,3,322,1,287580,32874,1180,29802.14056563951,28927.5390070922,28222.31623931624
Wavre,1300,apartment,245000,2,85,1,0,1,16,0,0,0,0,4,1990,4,191,1,310000,28507,2882,26803.13784722222,28927.5390070922,29068.10478029937
Tubize,1480,house,380000,3,250,1,0,1,50,0,0,0,200,2,1988,4,205,3,252250,27224,1520,29802.14056563951,28758.51106301106,29068.10478029937
Han-sur-lesse,5580,apartment,249000,8,340,0,0,1,30,1,520,0,0,2,1850,5,158,1,172500,26283,732,26803.13784722222,28927.5390070922,29446.861588481188
Ixelles,1050,duplex,475000,3,133,1,0,0,0,0,0,0,0,3,2001,4,112,5,350000,23014,3571,27281.282442748092,28486.412584912407,29068.10478029937
Oreye,4360,house,255000,2,123,1,0,1,22,1,155,0,291,2,1930,1,478,3,260000,29443,2073,29802.14056563951,28758.51106301106,29144.322250639387
Ninove,9400,house,395000,5,223,1,0,1,15,1,75,0,183,2,2013,5,105,3,260000,29589,1771,29802.14056563951,28758.51106301106,29446.861588481188
Aubel,4880,house,437500,4,161,0,0,1,10,0,0,0,1077,4,1975,3,323,5,260000,28075,2717,29802.14056563951,28486.412584912407,28222.31623931624
Kortrijk,8500,house,255000,4,145,0,0,0,0,0,0,0,350,3,1950,1,656,3,265000,28248,1758,29802.14056563951,28758.51106301106,29144.322250639387
Bruxelles,1000,apartment,435000,2,110,1,0,1,25,0,0,0,0,2,1929,1,298,3,275000,21541,3954,26803.13784722222,28758.51106301106,29144.322250639387
Awans,4340,house,210000,3,167,0,0,0,0,1,152,0,356,4,1850,0,724,1,250000,29354,1257,29802.14056563951,28927.5390070922,25195.411320754716
Thimister-clermont,4890,house,399000,5,185,1,0,1,45,1,730,0,1200,4,1974,4,200,5,303725,31327,2156,29802.14056563951,28486.412584912407,29068.10478029937
Diest,3290,house,325000,3,200,1,0,0,0,0,0,0,265,2,1918,4,259,3,275000,31304,1625,29802.14056563951,28758.51106301106,29068.10478029937
Saint-josse-ten-noode,1210,apartment,179000,1,62,1,0,0,0,0,0,0,0,2,1954,3,210,3,245000,18781,2887,26803.13784722222,28758.51106301106,28222.31623931624
Roeselare,8800,apartment,159500,3,102,1,0,0,0,0,0,0,0,3,1993,2,438,3,238106,28720,1563,26803.13784722222,28758.51106301106,27576.145009416196
Saint-hubert,6870,exceptional-property,495000,7,408,1,0,1,18,1,415,0,861,2,1950,4,222,4,170000,27382,1213,29278.095238095237,28224.02819956616,29068.10478029937
